case_id,sigma_over_m_cm2_g,assembly_time_myr,sample_time_myr,position,radius_pc,temperature_gradient_code,outward_heat_flux_code,normalized_outward_heat_flux
sigma10_t0.6,10.0,0.6,0.3,hernquist_radius,0.2944252517842078,-4.125096274325898,14.928176887905982,0.3723480896366524
sigma10_t0.6,10.0,0.6,0.3,inward_flux_median,1.0186794733977107,-3.935947251677131,1.7090977714259545,1.9649259532518937
task_047,30.0,0.5,0.24,hernquist_radius,0.2944252517842078,-6.264101026812426,8.258131628239187,0.26931102662804185
task_047,30.0,0.5,0.24,inward_flux_median,0.914455455357331,-2.2277282265507097,1.0174537639797656,1.7308837365015242
sigma50_t0.65,50.0,0.65,0.32,hernquist_radius,0.2944252517842078,-6.071855680977507,5.144554361636544,0.11557203230069588
sigma50_t0.65,50.0,0.65,0.32,inward_flux_median,1.1347823050783206,-1.6514515621407746,0.6126252602679911,1.255974559361661
sigma100_t0.75,100.0,0.75,0.38,hernquist_radius,0.2944252517842078,-6.499028684177603,2.8986479813441344,0.04933011699174505
sigma100_t0.75,100.0,0.75,0.38,inward_flux_median,1.334212653481817,-0.9610318502036552,0.2050338631095883,0.5934059796011872
