case_id,sigma_over_m_cm2_g,optimal_assembly_time_myr,future_feed_radius_pc,initial_dynamical_time_myr,initial_collision_time_myr,initial_conduction_time_myr
sigma10_t0.6,10.0,0.6,1.0186794733977107,0.5449417609798168,0.811799542101578,1.0464478241452935
task_047,30.0,0.5,0.914455455357331,0.5076575467372954,0.24834510318777017,0.46187212334006017
sigma50_t0.65,50.0,0.65,1.1347823050783206,0.5836516794023278,0.1770710613180021,0.5583324255683085
sigma100_t0.75,100.0,0.75,1.334212653481817,0.6447810522346455,0.1010506883377653,0.8800193846762272
