scale_radius_over_rs,protocol,assembly_time_myr,final_black_hole_mass_msun,accreted_dark_matter_msun,enhancement_over_control,ratio_to_static_equilibrium,peak_accretion_rate_msun_myr,final_accretion_rate_msun_myr
0.01,static_equilibrium,,763.5636507410528,663.5636507410528,29.9947862549853,1.0,971.4607027305503,971.4607027305503
0.01,instantaneous_turn_on,0.0,1081.0012735518974,981.0012735518974,44.34378447824326,1.4783830796884934,1438.5615706343358,1438.5615706343358
0.01,finite_smoothstep_assembly,0.05,1088.0059658632952,988.0059658632952,44.660414613766314,1.4889392521123068,1430.1967042372555,1430.1967042372555
0.01,finite_smoothstep_assembly,0.2,1208.4968916905177,1108.4968916905177,50.10691482790053,1.6705208165826648,1499.3355004885802,1499.3355004885802
0.01,finite_smoothstep_assembly,0.5,1358.2278967795075,1258.2278967795075,56.875141942771506,1.8961676025718817,1611.3521466167726,1611.3521466167726
0.01,finite_smoothstep_assembly,1.0,1319.3819372855028,1219.3819372855028,55.119204512215674,1.8376261808851717,1624.674844590712,1624.674844590712
0.1,static_equilibrium,,115.56828655383158,15.568286553831584,0.7037266538289755,1.0,47.831598825179114,6.859924284147909
0.1,instantaneous_turn_on,0.0,171.54497959404273,71.54497959404273,3.234017366900702,4.595559013296454,78.21889669004106,26.71500987794144
0.1,finite_smoothstep_assembly,0.05,169.30429893423175,69.30429893423175,3.132732829416389,4.451633048671946,68.94224511533429,26.201870626391386
0.1,finite_smoothstep_assembly,0.2,164.59053371280254,64.59053371280254,2.919658499448113,4.148853086013236,62.785752074283536,25.131281144188357
0.1,finite_smoothstep_assembly,0.5,157.25117204753673,57.25117204753673,2.5879004470716294,3.6774228075501587,62.6098178337593,23.435211484915108
0.1,finite_smoothstep_assembly,1.0,147.88152002918142,47.88152002918142,2.1643680410088515,3.075580595437914,62.58464020410438,20.894119899002472
