task_id,sigma_over_m_cm2_g,scale_radius_over_rs,assembly_time_myr,phase,target_time_myr,sample_time_myr,sample_index,position,radius_pc,feed_radius_pc,baryon_mass_fraction,density_msun_pc3,radial_velocity_km_s,velocity_dispersion_km_s,dynamical_time_myr,collision_time_myr,conduction_radius_time_myr,conduction_gradient_time_myr,inflow_time_myr,thermal_length_pc,knudsen_number
4,10.0,0.01,0.0,mid_assembly,0.02,0.02,1,hernquist_radius,0.2944252517842078,0.4295735720462841,1.0,378.90600628406315,-9.75387213776794,3.7290746517610667,0.02132823918921158,0.14682871678871914,0.03798183611115401,0.004605393235337527,0.02951512148147616,0.10252279481630448,1.5335829367159008
4,10.0,0.01,0.0,mid_assembly,0.02,0.02,1,inward_flux_median,0.4295735720462841,0.4295735720462841,1.0,245.7425480773299,-7.252710482234695,2.2432407371093093,0.03163653912698041,0.3763460222708623,0.2742182987683195,0.2742182987683195,0.05791403068071571,0.4295735720462841,3.165614513652093
4,10.0,0.01,0.0,assembly_end,0.02,0.02,1,hernquist_radius,0.2944252517842078,0.4295735720462841,1.0,378.90600628406315,-9.75387213776794,3.7290746517610667,0.02132823918921158,0.14682871678871914,0.03798183611115401,0.004605393235337527,0.02951512148147616,0.10252279481630448,1.5335829367159008
4,10.0,0.01,0.0,assembly_end,0.02,0.02,1,inward_flux_median,0.4295735720462841,0.4295735720462841,1.0,245.7425480773299,-7.252710482234695,2.2432407371093093,0.03163653912698041,0.3763460222708623,0.2742182987683195,0.2742182987683195,0.05791403068071571,0.4295735720462841,3.165614513652093
4,10.0,0.01,0.0,final,2.0,2.0,100,hernquist_radius,0.2944252517842078,13.584309102806959,1.0,583.5022671531065,-2.1220698084720024,10.830506471149398,0.018909970688780087,0.03282859199666616,0.007907376566328207,0.007907376566328207,0.13566317182953527,0.2944252517842078,0.425504394769931
4,10.0,0.01,0.0,final,2.0,2.0,100,inward_flux_median,13.584309102806959,13.584309102806959,1.0,3.8631704268693774,-0.8376323471533073,4.798715275866284,1.9734083904983564,11.191150083858162,25.18608652988091,8.08437546675236,15.857352957742373,7.6962726958332075,11.80258600083031
5,10.0,0.01,0.05,mid_assembly,0.025,0.02,1,hernquist_radius,0.2944252517842078,0.23726028903001117,0.352,369.9950618372407,-1.5447627473475887,1.9511607506657185,0.035583149845910635,0.2873787103396536,0.19871777690727785,0.19871777690727785,0.18636306549683296,0.2944252517842078,2.9660814652825698
5,10.0,0.01,0.05,mid_assembly,0.025,0.02,1,inward_flux_median,0.23726028903001117,0.23726028903001117,0.352,463.69726802491607,-1.8655018980891573,1.9308923676048444,0.028819951558959167,0.23171330267593265,0.1368429363400899,0.1368429363400899,0.12435863258295828,0.23726028903001117,2.6773105887107094
5,10.0,0.01,0.05,assembly_end,0.05,0.06,3,hernquist_radius,0.2944252517842078,0.6267582440104478,1.0,419.54134687579597,-11.406113149354296,6.984709852585753,0.021257011140461034,0.07079790918692479,0.011481889072905102,0.011481889072905102,0.025239686586600595,0.2944252517842078,0.7781052327580188
5,10.0,0.01,0.05,assembly_end,0.05,0.06,3,inward_flux_median,0.6267582440104478,0.6267582440104478,1.0,161.89964314248076,-7.196458496535366,3.501219547222731,0.048399337114124,0.3659976816804526,0.163625684108099,0.013103233863565041,0.08515846178544192,0.17736321954288586,2.4988017411137577
5,10.0,0.01,0.05,final,2.0,2.0,100,hernquist_radius,0.2944252517842078,13.584309102806959,1.0,600.3107666542887,-2.0794597841137343,10.810929380760825,0.018921915361902342,0.03196718595787974,0.008124154388545777,0.008124154388545777,0.13844303374383535,0.2944252517842078,0.42026477764724623
5,10.0,0.01,0.05,final,2.0,2.0,100,inward_flux_median,13.584309102806959,13.584309102806959,1.0,3.78039060541811,-0.9763387462158543,4.753026904130234,1.9747817437281605,11.546134774817276,25.910380557756525,7.495649444906187,13.60453206339881,7.306431095163835,12.04579533192074
6,10.0,0.01,0.2,mid_assembly,0.1,0.1,5,hernquist_radius,0.2944252517842078,0.4785337302041544,0.5,415.80296611017144,-6.66977165612566,4.451645407071561,0.0297972563120417,0.11208188434684811,0.026631456829881606,0.02437925873174374,0.04316290510434566,0.2817006448382699,1.2263367270850332
6,10.0,0.01,0.2,mid_assembly,0.1,0.1,5,inward_flux_median,0.4785337302041544,0.4785337302041544,0.5,220.94526464084723,-5.087503190056745,3.18430077356692,0.04985241197921983,0.2948796415743118,0.1294662446559882,0.04563791547051879,0.09197174757944408,0.28411697330873775,2.351893537126682
6,10.0,0.01,0.2,assembly_end,0.2,0.2,10,hernquist_radius,0.2944252517842078,1.2641178246418958,1.0,1802.2674106938184,-1.1173137685599293,9.023768229203897,0.020944679432735765,0.01275664319944136,0.027295586528910745,0.027295586528910745,0.25765969162991204,0.2944252517842078,0.29058724203568226
6,10.0,0.01,0.2,assembly_end,0.2,0.2,10,inward_flux_median,1.2641178246418958,1.2641178246418958,1.0,75.90621946447713,-5.453930511547033,5.27882068933137,0.11410975359504533,0.5177609571878485,0.19630232953579257,0.054931629875764165,0.22663372289139705,0.6687073103851358,2.420463282977369
6,10.0,0.01,0.2,final,2.0,2.0,100,hernquist_radius,0.2944252517842078,12.870637396137889,1.0,619.9047238982265,-2.0471784813786735,10.811068911340996,0.01891073340474091,0.03095636715747972,0.008355710875708447,0.008355710875708447,0.14062609766547018,0.2944252517842078,0.4135642422246467
6,10.0,0.01,0.2,final,2.0,2.0,100,inward_flux_median,12.870637396137889,12.870637396137889,1.0,4.322866986065125,-0.7165315021274654,4.8681605582204766,1.8675211938050151,9.858408376070127,21.683946582197965,7.620686231046736,17.563511299435895,7.630059613087947,10.99824172030863
7,10.0,0.01,0.5,mid_assembly,0.25,0.24,12,hernquist_radius,0.2944252517842078,0.8664131897876486,0.470016,1092.601806811616,-2.1030213947483136,6.1179320430061255,0.03014798663295841,0.031036804988459097,0.02848987326325072,0.02848987326325072,0.13689196019589717,0.2944252517842078,0.5504761206966968
7,10.0,0.01,0.5,mid_assembly,0.25,0.24,12,inward_flux_median,0.8664131897876486,0.8664131897876486,0.470016,116.98567973735376,-4.0672672014765885,3.9963386288356904,0.10186033533738001,0.4437604432033295,0.208250454807081,0.10902214587659066,0.20829024398211288,0.6268872526515115,2.5754045444987366
