scale_radius_over_rs,r_min_pc,static_equilibrium_enhancement,assembly_t0.5_enhancement
0.01,0.0025,22.27087094286961,42.58123587636887
0.01,0.005,29.9947862549853,56.875141942771506
0.01,0.01,43.539664223822975,77.6600308034299
0.1,0.0025,0.7736187755602764,2.4511486714956665
0.1,0.005,0.7037266538289755,2.5879004470716294
0.1,0.01,0.6546310486697927,2.7987575894608367
