task_id,axis,axis_value,r_min_over_influence,cells,final_black_hole_mass_msun,dark_matter_accreted_msun,time_to_1e7_msun_myr,mass_budget_residual_code,steps
0,inner_boundary,0.05208333333333334,0.05208333333333334,282,14523489.613243764,14301928.645520646,1.76,2.998845616275503e-11,64517810
1,inner_boundary,0.10416666666666667,0.10416666666666666,269,15598892.071243348,15340669.386623574,1.6500000000000001,1.901145907368118e-11,26876852
2,grid,512.0,0.2083333333333333,512,16900371.376308683,16599798.07551179,1.52,1.63069557856943e-12,22495977
