halo_mass_msun,formation_redshift,observation_redshift,seed_mass_msun,post_dark_burst_mass_msun,target_mass_msun,available_post_burst_time_myr,seed_only_required_activity,post_burst_required_activity,activity_reduction_factor,seed_only_feasible,post_burst_feasible,dark_burst_changes_feasibility
1000000.0,10.0,8.0,100.0,406.0618526402002,100000.0,163.70434261312272,2.086633118924591,1.6836513944444838,0.8068746629077775,False,False,False
1000000.0,10.0,8.0,100.0,406.0618526402002,1000000.0,163.70434261312272,2.782177491899455,2.3876933351914937,0.8582102839029735,False,False,False
1000000.0,10.0,8.0,100.0,406.0618526402002,10000000.0,163.70434261312272,3.4777218648743182,3.091735275938505,0.8890116565000914,False,False,False
1000000.0,10.0,6.0,100.0,406.0618526402002,100000.0,455.26217060290134,0.7561617633714994,0.6054117001467485,0.8006378125328615,True,True,False
1000000.0,10.0,6.0,100.0,406.0618526402002,1000000.0,455.26217060290134,1.0082156844953325,0.8585729125739202,0.8515766276773241,False,True,True
1000000.0,10.0,6.0,100.0,406.0618526402002,10000000.0,455.26217060290134,1.2602696056191656,1.1117341250010921,0.8821399167640018,False,False,False
1000000.0,10.0,4.0,100.0,406.0618526402002,100000.0,1062.6509034272406,0.32476764743552317,0.2593712044362585,0.7986362141806382,True,True,False
1000000.0,10.0,4.0,100.0,406.0618526402002,1000000.0,1062.6509034272406,0.43302352991403087,0.3678308337560465,0.8494476820441439,True,True,False
1000000.0,10.0,4.0,100.0,406.0618526402002,10000000.0,1062.6509034272406,0.5412794123925386,0.47629046307583467,0.8799345627622474,True,True,False
1000000.0,15.0,11.0,100.0,713.4184056857372,100000.0,143.2259067744149,2.3808711332975756,1.7274263624336468,0.7255438306907065,False,False,False
1000000.0,15.0,11.0,100.0,713.4184056857372,1000000.0,143.2259067744149,3.1744948443967673,2.532132198673078,0.7976488615637508,False,False,False
1000000.0,15.0,11.0,100.0,713.4184056857372,10000000.0,143.2259067744149,3.968118555495959,3.33683803491251,0.8409118800875777,False,False,False
1000000.0,15.0,8.0,100.0,713.4184056857372,100000.0,366.6829499150117,0.9378360711442565,0.6747306009263108,0.7194547338140556,True,True,False
1000000.0,15.0,8.0,100.0,713.4184056857372,1000000.0,366.6829499150117,1.2504480948590087,0.9890477054133605,0.790954626169332,False,True,True
1000000.0,15.0,8.0,100.0,713.4184056857372,10000000.0,366.6829499150117,1.5630601185737607,1.3033648099004107,0.833854561582498,False,False,False
1000000.0,15.0,6.0,100.0,713.4184056857372,100000.0,658.2407779047903,0.5236940534685212,0.37586885445339957,0.7177260309983504,True,True,False
1000000.0,15.0,6.0,100.0,713.4184056857372,1000000.0,658.2407779047903,0.6982587379580283,0.5509639366039119,0.7890541237122761,True,True,False
1000000.0,15.0,6.0,100.0,713.4184056857372,10000000.0,658.2407779047903,0.8728234224475353,0.7260590187544244,0.8318509793406319,True,True,False
1000000.0,15.0,4.0,100.0,713.4184056857372,100000.0,1265.6295107291294,0.27276437343848897,0.195485491645224,0.7166826414348716,True,True,False
1000000.0,15.0,4.0,100.0,713.4184056857372,1000000.0,1265.6295107291294,0.3636858312513186,0.286550627299068,0.7879070413965407,True,True,False
1000000.0,15.0,4.0,100.0,713.4184056857372,10000000.0,1265.6295107291294,0.4546072890641482,0.3776157629529121,0.8306416813735424,True,True,False
1000000.0,20.0,11.0,100.0,1050.6022033901838,100000.0,233.39665493078812,1.4688576154484085,0.9770430517126751,0.6651720639474006,False,True,True
1000000.0,20.0,11.0,100.0,1050.6022033901838,1000000.0,233.39665493078812,1.958476820597878,1.4708578543122852,0.7510213237363035,False,False,False
1000000.0,20.0,11.0,100.0,1050.6022033901838,10000000.0,233.39665493078812,2.4480960257473474,1.9646726569118953,0.8025308796096452,False,False,False
1000000.0,20.0,8.0,100.0,1050.6022033901838,100000.0,456.8536980713849,0.753539027144068,0.4991501238925632,0.6624077929770338,True,True,False
1000000.0,20.0,8.0,100.0,1050.6022033901838,1000000.0,456.8536980713849,1.0047187028587574,0.7514294062286941,0.7479002870063318,False,True,True
1000000.0,20.0,8.0,100.0,1050.6022033901838,10000000.0,456.8536980713849,1.2558983785734465,1.0037086885648252,0.7991957834239111,False,False,False
1000000.0,20.0,6.0,100.0,1050.6022033901838,100000.0,748.4115260611635,0.46076606933405123,0.3046967771772012,0.6612830185555585,True,True,False
1000000.0,20.0,6.0,100.0,1050.6022033901838,1000000.0,748.4115260611635,0.6143547591120684,0.45869590609045274,0.7466303455570352,True,True,False
1000000.0,20.0,6.0,100.0,1050.6022033901838,10000000.0,748.4115260611635,0.7679434488900854,0.6126950350037043,0.7978387417579214,True,True,False
1000000.0,20.0,4.0,100.0,1050.6022033901838,100000.0,1355.8002588855027,0.25465024548601595,0.16819481962672,0.6604934517369486,True,True,False
1000000.0,20.0,4.0,100.0,1050.6022033901838,1000000.0,1355.8002588855027,0.33953366064802126,0.25320345001066635,0.745738874688924,True,True,False
