task_id,design,axis,axis_value,model_label,cross_section_model,sigma0_over_m_cm2_g,velocity_scale_km_s,halo_mass_msun,halo_redshift,halo_concentration,black_hole_seed_msun,scale_radius_over_rs,assembly_time_myr,initial_dynamical_time_myr,assembly_over_dynamical_time,r_min_over_reference_influence,cells,final_black_hole_mass_msun,growth_factor,reaches_1e7,time_to_1e7_msun_myr,dark_fraction_of_growth,initial_inner_lmfp_effective_sigma_cm2_g,final_inner_lmfp_effective_sigma_cm2_g,initial_inner_smfp_effective_sigma_cm2_g,final_inner_smfp_effective_sigma_cm2_g,mass_budget_residual_code,steps
15,main_effect,black_hole_seed_msun,20000.0,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,20000.0,0.02,1.25,0.47246552735997954,2.6456956700834677,0.20833333333333334,256,32555.548790368277,1.627777439518414,False,nan,0.9930492553453272,1.0,1.0,1.0,1.0,2.304822999121825e-12,9119782
16,main_effect,black_hole_seed_msun,30000.0,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,30000.0,0.02,1.25,0.4721718710582688,2.647341098906213,0.20833333333333334,256,56343.26086614091,1.8781086955380304,False,nan,0.9905480078784308,1.0,1.0,1.0,1.0,4.265032771400001e-12,9628719
17,main_effect,black_hole_seed_msun,40000.0,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,40000.0,0.02,1.25,0.47187876163433856,2.6489855056639144,0.20833333333333334,256,83642.41424999072,2.091060356249768,False,nan,0.9880828938944353,1.0,1.0,1.0,1.0,5.363709476569056e-12,9968947
18,main_effect,scale_radius_over_rs,0.005,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.005,1.25,0.23456081450149624,5.329108370707957,0.20833333333333334,256,190267.07348633933,1.9026707348633933,False,nan,0.9718826867435346,1.0,1.0,1.0,1.0,7.602807272633072e-13,12703271
19,main_effect,scale_radius_over_rs,0.01,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.01,1.25,0.31180805870254225,4.00887650306842,0.20833333333333334,256,15139363.856436318,151.3936385643632,True,1.4000000000000001,0.984366963548508,1.0,1.0,1.0,1.0,3.185007813044649e-12,12773679
20,main_effect,scale_radius_over_rs,0.04,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.04,1.25,0.7289531176568492,1.714787919445364,0.20833333333333334,256,9978906.427431727,99.78906427431727,False,nan,0.9926979206292859,1.0,1.0,1.0,1.0,7.975842208907125e-13,6678521
21,main_effect,scale_radius_over_rs,0.08,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.08,1.25,0.8489391763851156,1.472425863679244,0.20833333333333334,256,1099254.9926405922,10.992549926405921,False,nan,0.9884026136316245,1.0,1.0,1.0,1.0,3.89910326248355e-13,3499731
22,main_effect,assembly_time_myr,0.25,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.02,0.25,0.4701314950984624,0.5317661177914511,0.20833333333333334,256,171530.10393421282,1.7153010393421282,False,nan,0.9640691815044682,1.0,1.0,1.0,1.0,4.487965554744733e-12,11811684
23,main_effect,assembly_time_myr,0.5,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.02,0.5,0.4701314950984624,1.0635322355829022,0.20833333333333334,256,16280308.69833258,162.80308698332578,True,1.55,0.9918588616200398,1.0,1.0,1.0,1.0,4.155786825776886e-12,12144164
24,main_effect,assembly_time_myr,0.75,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.02,0.75,0.4701314950984624,1.5952983533743534,0.20833333333333334,256,16873863.91672538,168.73863916725378,True,1.44,0.9866103885995724,1.0,1.0,1.0,1.0,2.050803971087589e-12,12020541
