task_id,halo_redshift,duration_myr,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,time_to_1e6_msun_myr,time_to_1e7_msun_myr,mass_budget_residual_code,steps
0,10.0,10.0,1430213.5083081925,1230102.3145562236,100111.1937519638,0.9247405073496108,8.64,nan,2.0339285811132868e-13,1632355
1,20.0,10.0,3954128.27311921,3585394.6607099157,268733.6124094632,0.9302738276036143,5.04,nan,5.497824417943775e-13,6455990
2,30.0,12.0,12524914.346899612,11406424.455642857,1018489.8912557666,0.9180284175149345,3.1,10.74,7.229772336359019e-13,23089069
