task_id,halo_concentration,axis,axis_value,r_min_over_influence,cells,final_black_hole_mass_msun,mass_budget_residual_code,steps
0,10.0,inner_boundary,0.05208333333333334,0.05208333333333335,282,7337711.009853513,2.6989077639427705e-11,72211165
1,10.0,inner_boundary,0.10416666666666667,0.10416666666666669,269,8309399.521678536,4.915179374620493e-12,29939907
2,10.0,grid,512.0,0.20833333333333337,512,9706483.107767887,5.229594535194337e-12,26453849
3,12.0,inner_boundary,0.05208333333333334,0.05208333333333334,282,8495375.531819168,1.6768808563938364e-11,79711561
4,12.0,inner_boundary,0.10416666666666667,0.10416666666666666,269,9720630.727372827,4.67892391498026e-12,33252258
5,12.0,grid,512.0,0.20833333333333331,512,11636442.32501672,1.3651302310790925e-12,29703772
