formation_redshift,observation_redshift,available_time_myr,seed_mass_msun,target_mass_msun,required_eddington_activity,sub_eddington_feasible
30.0,11.0,314.6176688916249,1.0,100000.0,1.8316632293426243,False
30.0,11.0,314.6176688916249,1.0,1000000.0,2.197995875211149,False
30.0,11.0,314.6176688916249,1.0,10000000.0,2.5643285210796742,False
30.0,11.0,314.6176688916249,10.0,100000.0,1.4653305834740995,False
30.0,11.0,314.6176688916249,10.0,1000000.0,1.8316632293426243,False
30.0,11.0,314.6176688916249,10.0,10000000.0,2.197995875211149,False
30.0,11.0,314.6176688916249,100.0,100000.0,1.0989979376055745,False
30.0,11.0,314.6176688916249,100.0,1000000.0,1.4653305834740995,False
30.0,11.0,314.6176688916249,100.0,10000000.0,1.8316632293426243,False
30.0,11.0,314.6176688916249,1000.0,100000.0,0.7326652917370498,True
30.0,11.0,314.6176688916249,1000.0,1000000.0,1.0989979376055745,False
30.0,11.0,314.6176688916249,1000.0,10000000.0,1.4653305834740995,False
30.0,11.0,314.6176688916249,100000.0,100000.0,0.0,True
30.0,11.0,314.6176688916249,100000.0,1000000.0,0.3663326458685249,True
30.0,11.0,314.6176688916249,100000.0,10000000.0,0.7326652917370498,True
30.0,8.0,538.0747120322217,1.0,100000.0,1.0709918205109275,False
30.0,8.0,538.0747120322217,1.0,1000000.0,1.2851901846131129,False
30.0,8.0,538.0747120322217,1.0,10000000.0,1.4993885487152985,False
30.0,8.0,538.0747120322217,10.0,100000.0,0.856793456408742,True
30.0,8.0,538.0747120322217,10.0,1000000.0,1.0709918205109275,False
30.0,8.0,538.0747120322217,10.0,10000000.0,1.2851901846131129,False
30.0,8.0,538.0747120322217,100.0,100000.0,0.6425950923065564,True
30.0,8.0,538.0747120322217,100.0,1000000.0,0.856793456408742,True
30.0,8.0,538.0747120322217,100.0,10000000.0,1.0709918205109275,False
30.0,8.0,538.0747120322217,1000.0,100000.0,0.428396728204371,True
30.0,8.0,538.0747120322217,1000.0,1000000.0,0.6425950923065564,True
30.0,8.0,538.0747120322217,1000.0,10000000.0,0.856793456408742,True
30.0,8.0,538.0747120322217,100000.0,100000.0,0.0,True
30.0,8.0,538.0747120322217,100000.0,1000000.0,0.2141983641021855,True
30.0,8.0,538.0747120322217,100000.0,10000000.0,0.428396728204371,True
30.0,6.0,829.6325400220003,1.0,100000.0,0.6946130818289751,True
30.0,6.0,829.6325400220003,1.0,1000000.0,0.8335356981947701,True
30.0,6.0,829.6325400220003,1.0,10000000.0,0.9724583145605651,True
30.0,6.0,829.6325400220003,10.0,100000.0,0.5556904654631801,True
30.0,6.0,829.6325400220003,10.0,1000000.0,0.6946130818289751,True
30.0,6.0,829.6325400220003,10.0,10000000.0,0.8335356981947701,True
30.0,6.0,829.6325400220003,100.0,100000.0,0.41676784909738507,True
30.0,6.0,829.6325400220003,100.0,1000000.0,0.5556904654631801,True
30.0,6.0,829.6325400220003,100.0,10000000.0,0.6946130818289751,True
30.0,6.0,829.6325400220003,1000.0,100000.0,0.27784523273159006,True
30.0,6.0,829.6325400220003,1000.0,1000000.0,0.41676784909738507,True
30.0,6.0,829.6325400220003,1000.0,10000000.0,0.5556904654631801,True
30.0,6.0,829.6325400220003,100000.0,100000.0,0.0,True
30.0,6.0,829.6325400220003,100000.0,1000000.0,0.13892261636579503,True
30.0,6.0,829.6325400220003,100000.0,10000000.0,0.27784523273159006,True
