task_id,black_hole_seed_msun,axis,reference_r_min_over_influence,cells,final_black_hole_mass_msun,dark_matter_accreted_msun,dark_capture_fraction,time_to_1e7_msun_myr,mass_budget_residual_code,steps
0,32500.0,inner_boundary,0.05208333333333334,282,13341902.620517258,13230016.968377171,1.0000000000000002,1.87,9.960032798517204e-12,47655391
1,32500.0,inner_boundary,0.10416666666666667,269,77806.96050149646,44877.756921327644,0.002955568857177373,nan,2.3566038009903423e-11,22142683
2,32500.0,grid,0.10416666666666667,538,77394.94810268476,44468.67979258886,0.002911385429796336,nan,1.227107304657693e-11,45561139
3,35000.0,inner_boundary,0.05208333333333334,282,13481882.826552752,13364312.39575695,1.0000000000000002,1.86,8.260947481630865e-12,48902988
4,35000.0,inner_boundary,0.10416666666666667,269,86680.0107409488,51156.76540029003,0.0033623581447255607,nan,8.22897305852166e-12,22488408
5,35000.0,grid,0.10416666666666667,538,86209.23632856295,50689.66300265653,0.0033129511117932805,nan,3.524824876421917e-11,46244927
6,37500.0,inner_boundary,0.05208333333333334,282,13600068.585830247,13477101.833735034,1.0000000000000002,1.85,7.532641177476762e-12,50040090
7,37500.0,inner_boundary,0.10416666666666667,269,95875.95431349217,57746.79455362059,0.0037892302096110427,nan,1.3528733688872308e-11,22803636
8,37500.0,grid,0.10416666666666667,538,95347.37421511278,57222.69326469351,0.0037346408072404763,nan,1.5014656185030617e-11,46867375
