task_id,scale_radius_over_rs,final_black_hole_mass_msun,dark_matter_accreted_msun,mass_budget_residual_code,steps
-1,0.003,8200185.779256321,7937158.172076126,2.780886632081092e-12,12301323
0,0.005,11175748.653646061,10871825.699525813,1.623590151211829e-12,12760022
1,0.01,15139903.581659773,14804341.266006378,3.5056402225563943e-12,12774570
2,0.03,14733816.810539775,14502593.648845246,2.3439028495886305e-12,8742513
