task_id,seed_mass_msun,eddington_ratio,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,baryon_gas_consumed_msun,dark_fraction_of_black_hole_growth,dark_dominated_onset_myr,mass_budget_residual_code,steps,elapsed_seconds,eddington_efolding_time_myr,duration_myr,extra_dark_matter_vs_no_eddington_msun,catalytic_dark_mass_per_baryon_mass,baryon_growth_boost_over_isolated_eddington
0,10.0,0.0,608.3542638492793,598.3542638492776,0.0,0.0,0.9999999999999971,0.65,1.0302869668521453e-13,699531,27.45695858198451,inf,2.0,0.0,nan,nan
1,10.0,0.1,610.0441018834911,599.4357771900776,0.6083246934165205,0.675916326018368,0.998986200028458,0.65,1.163513729807164e-13,699967,27.51102343801176,500.5449024782446,2.0,1.0815133408000293,1.7778553994347162,15.194295237803095
2,10.0,1.0,625.4756903924409,609.2673337078336,6.2083566846087415,6.898174094009415,0.989912913244959,0.65,2.318145675417327e-13,703988,27.633689782989677,50.054490247824454,2.0,10.913069858556014,1.7578032985138916,15.22945576638855
3,100.0,0.0,1376.889397068612,1276.8893970685692,0.0,0.0,0.9999999999999665,0.65,1.5898393712632242e-13,1136511,39.511813213990536,inf,2.0,0.0,nan,nan
4,100.0,0.1,1380.9060859896958,1278.966141572347,1.93994441739613,2.155493797106859,0.9984854905144354,0.65,1.3855583347321954e-13,1137504,39.59005595400231,500.5449024782446,2.0,2.076744503777718,1.0705175288296178,4.8454531834469545
5,100.0,1.0,1417.578894857214,1297.7792136138316,19.79968124342655,21.999645826029063,0.9849726788121268,0.65,3.801403636316536e-13,1146583,40.22137509402819,50.054490247824454,2.0,20.88981654526242,1.0550582248488365,4.856975605684953
6,1000.0,0.0,3437.707548944489,2437.7075489445156,0.0,0.0,1.0000000000000109,0.65,3.82804898890754e-13,2259269,62.15501819801284,inf,2.0,0.0,nan,nan
7,1000.0,0.1,3448.297865160992,2440.603117790195,7.694747371006007,8.549719301117817,0.9968571032633357,0.65,6.67021993194794e-13,2261274,62.16417539201211,500.5449024782446,2.0,2.8955688456794633,0.37630460183657705,1.9219384746448518
8,1000.0,1.0,3545.132767497386,2466.7516623750575,78.38110512235338,87.09011680261013,0.9692035299206021,0.65,2.6556534749033744e-13,2279348,62.69359151797835,50.054490247824454,2.0,29.044113430541984,0.37054993528356034,1.9227335574015272
