task_id,ambient_model,feedback_efficiency,feedback_heating_fraction,feedback_expansion_fraction,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,scale_radius_expansion_factor,final_ambient_density_msun_pc3,final_ambient_sound_speed_km_s,bondi_limited_sample_fraction,transition_time_myr,ever_eddington_after_assembly,limiter_history,bondi_reclosure_time_myr,eddington_limited_duration_myr,final_bondi_to_eddington_ratio,feedback_to_binding_ratio,total_feedback_to_binding_ratio,mass_budget_residual_code
0,fixed,0.0,0.0,1.0,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.5378212029493,0.0,0.0,3.6148861681795097e-13
1,evolving,0.0,0.0,1.0,1410.6723497305113,1292.4485764832762,18.223773247355545,1.0,299.87850817835096,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.530736207590778,0.0,0.0,2.8066438062523957e-13
2,fixed,1e-07,0.0,1.0,1411.9809182093366,1293.4100382126599,18.570879996677984,1.0006300491676074,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.536776281734976,0.0012604952971684217,0.0012604952971684276,2.779998453661392e-13
3,evolving,1e-07,0.0,1.0,1410.364097340087,1292.1424216837556,18.221675656248713,1.0006182054672037,299.32304947059095,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.521355821556825,0.0012367931124071274,0.0012367931124070844,3.348432642269472e-13
4,fixed,1e-07,0.5,0.5,1412.1434812504917,1293.5715291743943,18.571952076045733,1.0003150923744908,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.537298606179938,0.0006302840321858752,0.001260568064371777,3.89910326248355e-13
5,evolving,1e-07,0.5,0.5,1410.5173499067341,1292.2948799814544,18.22246992527016,1.000309163964642,299.6005538636061,10.010108578414808,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.512341509729544,0.0006184235116403866,0.001236847023280763,3.1086244689504383e-13
6,fixed,1e-07,1.0,0.0,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.5378212029493,0.0,0.00126064085834671,3.6148861681795097e-13
7,evolving,1e-07,1.0,0.0,1410.6706732076566,1292.4474088143397,18.22326439326219,1.0,299.87851157071157,10.02020783956203,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.503374626013373,0.0,0.001236900947659615,3.0109248427834245e-13
8,fixed,3e-07,0.0,1.0,1411.33151193074,1292.7649163119675,18.566595618848208,1.001888523483163,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.534689701835806,0.0037806134872723244,0.003780613487272391,2.779998453661392e-13
9,evolving,3e-07,0.0,1.0,1409.7485708709512,1291.5310861330752,18.217484737735784,1.0018530460918875,298.21764304907896,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.502692385745741,0.0037095259635937933,0.003709525963593722,3.339550858072471e-13
10,fixed,3e-07,0.5,0.5,1411.8184398946878,1293.2486315826961,18.56980831204399,1.0009448705274113,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.536254229521177,0.001890633835136297,0.003781267670272535,4.156675004196586e-13
11,evolving,3e-07,0.5,0.5,1410.2076238229072,1291.9877604135904,18.219863409276375,1.0009270728478086,299.0460505265971,10.030290844285641,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.475873791263571,0.0018550051596816972,0.003710010319363235,2.8421709430404007e-13
12,fixed,3e-07,1.0,0.0,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.5378212029493,0.0,0.003781922575040129,3.6148861681795097e-13
13,evolving,3e-07,1.0,0.0,1410.6673121332021,1292.4450682684746,18.222243864725115,1.0,299.87851837423517,10.060498369756253,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.449474845164736,0.0,0.003710495038379966,2.8954616482224083e-13
14,fixed,1e-06,0.0,1.0,1409.069175191809,1290.5175255153592,18.551649676507676,1.006276254526969,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.527420683164156,0.012591900424825078,0.012591900424824571,4.147793219999585e-13
15,evolving,1e-06,0.0,1.0,1407.6044310550817,1289.4015700070597,18.202861047930945,1.0061586160943605,294.4056849112974,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.438376078034455,0.012355160740918929,0.01235516074091862,3.2152058793144533e-13
16,fixed,1e-06,0.5,0.5,1410.6834546281548,1292.12113709963,18.562317528565174,1.003144840292549,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.532607456274512,0.00629957060556333,0.012599141211126588,3.3217872896784684e-13
17,evolving,1e-06,0.5,0.5,1409.1264479238714,1290.9157060946254,18.21074182926408,1.0030853677049985,297.1199283394769,10.100566080320876,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.351529044983132,0.006180254903871568,0.012360509807742422,3.872457909892546e-13
18,fixed,1e-06,1.0,0.0,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.5378212029493,0.0,0.012606408583467097,3.6148861681795097e-13
19,evolving,1e-06,1.0,0.0,1410.6554632196826,1292.4368211517437,18.218642068012297,1.0,299.87854238621327,10.200226707596258,0.18382352941176472,0.9,True,eddington_at_end,nan,1.105,4.269078637215956,0.0,0.012365872081254288,2.8688162956314045e-13
20,fixed,3e-06,0.0,1.0,1402.6942364425108,1284.184872833318,18.509363609176486,1.018670504376796,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.506937636585871,0.037689596487276246,0.03768959648727706,3.4372504842394846e-13
21,evolving,3e-06,0.0,1.0,1401.5640434311797,1283.4025890880112,18.16145434303185,1.0183227229286353,283.98123208305475,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.262848201612087,0.03698116803279003,0.03698116803278934,3.552713678800501e-13
22,fixed,3e-06,0.5,0.5,1407.4632011003112,1288.9221804272236,18.54102067312852,1.0093943872493523,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.522260595606719,0.01887702901049474,0.03775405802098991,3.241851231905457e-13
23,evolving,3e-06,0.5,0.5,1406.0617358866175,1287.877048521293,18.18468736530927,1.009214664022218,291.73938445713395,10.298331204667617,0.18382352941176472,0.9,True,eddington_at_end,nan,1.105,4.022501069318345,0.018514238077478252,0.03702847615495466,2.788880237858393e-13
24,fixed,3e-06,1.0,0.0,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.5378212029493,0.0,0.03781922575040131,3.6148861681795097e-13
25,evolving,3e-06,1.0,0.0,1410.6208572543633,1292.4127713234427,18.208085930919705,1.0,299.87861276046056,10.58899623551765,0.18382352941176472,0.9,True,eddington_at_end,nan,1.105,3.8158271509483352,0.0,0.03707612136387932,3.5793590313915047e-13
26,fixed,1e-05,0.0,1.0,1381.3523462545525,1262.9863657372168,18.36598051732576,1.0604993059932766,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.438364910167647,0.12465877801222125,0.12465877801222323,2.611244553918368e-13
27,evolving,1e-05,0.0,1.0,1381.3607409096917,1263.3400655266128,18.020675383025477,1.0593937064806767,252.21745361822562,10.0,0.18382352941176472,0.9,True,eddington_at_end,nan,1.105,3.731466329364251,0.1223150253308663,0.12231502533086498,1.9984014443252818e-13
28,fixed,1e-05,0.5,0.5,1396.4467074173658,1277.9790280684865,18.467679348889774,1.0308610617072977,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.486863964813682,0.06267452854429739,0.12534905708858926,2.815525590449397e-13
29,evolving,1e-05,0.5,0.5,1395.6121928240566,1277.5187502705433,18.093442553470197,1.0302448571221325,274.23648531859635,10.95828883096786,0.19852941176470587,0.92,True,eddington_at_end,nan,1.085,3.1150071044067107,0.061404465626602865,0.12280893125321349,2.5579538487363607e-13
30,fixed,1e-05,1.0,0.0,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.5378212029493,0.0,0.12606408583467102,3.6148861681795097e-13
31,evolving,1e-05,1.0,0.0,1410.4899908576044,1292.3223298887192,18.167660968902037,1.0,299.8788822602073,11.846223984671173,0.20588235294117646,0.93,True,eddington_at_end,nan,1.075,2.725042963858963,0.0,0.12331268747602114,2.779998453661392e-13
32,fixed,3e-05,0.0,1.0,1327.3265522779816,1209.3358382792142,17.990713998706582,1.168903327416274,300.0,10.0,0.17647058823529413,0.89,True,eddington_at_end,nan,1.115,4.264776912232345,0.36633498884483623,0.3663349888448264,5.6754601018838e-13
